TimeIndex,PDP
0,2.0773692281620837e-13
1,6.650652520462726e-13
2,1.982481871006814e-12
3,5.139609473299417e-12
4,1.1397859154118368e-11
5,3.707498180551742e-11
6,9.57657654649348e-12
7,1.1247156486062194e-11
8,8.15075301967172e-12
9,8.81011116445715e-11
10,1.3245087290252294e-10
11,4.777880476159087e-11
12,3.979116811530015e-11
13,2.5480857084341916e-10
14,4.426920583786694e-10
15,5.171499595074836e-10
16,1.4671637295663199e-10
17,3.4020632071293636e-11
18,2.6725162011061076e-10
19,7.252545793089428e-10
20,1.7892950642186334e-10
21,1.664762087925727e-10
22,7.239781166759329e-11
23,2.712495843642264e-10
24,2.47427134551925e-10
25,1.288701245250786e-10
26,4.4463965174050694e-11
27,2.2324327722381064e-10
28,5.132735409496672e-10
29,2.2678023416833364e-11
30,1.357129135165818e-11
31,8.273111569277256e-12
32,2.5161077632289244e-10
33,7.827919453260018e-11
34,4.253496975502636e-11
35,3.5788767170341795e-12
36,8.369985478508433e-11
37,1.9463953351308793e-10
38,6.48796717072241e-11
39,1.9028785773438873e-11
40,6.3329025935306334e-12
41,1.872427574796205e-10
42,1.5890939559453197e-10
43,9.354149764816257e-11
44,4.866866504459995e-11
45,1.3331712940912906e-10
46,1.3340418074657177e-10
47,1.768072832698467e-10
48,1.572720081093495e-10
49,6.675319938361162e-11
50,1.0842454617743042e-10
51,1.3047225675441966e-11
52,4.9443074908280634e-11
53,3.012952296009022e-11
54,5.537800764149456e-11
55,2.47066803361332e-11
56,2.8587074988049657e-11
57,2.1560301492260114e-11
58,1.835083545961296e-11
59,3.471683859934668e-11
60,1.576397742627425e-11
61,1.1794755433957133e-11
62,5.249739569402025e-11
63,6.881002396119968e-11
64,7.566516555589495e-12
65,3.108602199454263e-11
66,3.604312658108502e-11
67,1.3536663872180665e-10
68,2.0169114564106232e-11
69,1.2529711706308757e-11
70,2.7313206159522217e-11
71,1.1394999324899705e-10
72,6.390709621498608e-11
73,3.533650502008783e-11
74,8.634324833273385e-11
75,1.1074811312079472e-10
76,8.988035608542088e-11
77,1.2902365228025261e-11
78,1.8734141820205266e-11
79,5.2909210564960996e-11
80,1.8907104844940272e-11
81,1.1490967805762673e-11
82,7.30955164572667e-12
83,8.24768623130566e-11
84,9.289740318490729e-11
85,8.439597669200103e-11
86,1.0276958876561847e-11
87,1.3898181025178132e-11
88,2.609081612262481e-11
89,5.3961598189332154e-11
90,4.752435926136278e-11
91,1.918420841972332e-12
92,2.5301115723265483e-12
93,1.9041882591786046e-11
94,6.912824318651241e-11
95,1.0917353236201553e-11
96,2.026712553418196e-11
97,1.5577198449723763e-12
98,2.8684449261097235e-11
99,3.099249332800079e-11
100,1.5168616332173425e-12
101,8.917318958555151e-12
102,5.850240008108124e-12
103,1.4439376090734315e-11
104,1.5358672315396338e-12
105,6.597990285400151e-13
106,4.587678208351543e-13
107,1.6086672280821098e-11
108,3.294983961567899e-11
109,2.986901358991805e-11
110,4.127715797276703e-13
111,4.0631412409940855e-12
112,2.8780164525695368e-11
113,2.596473390211681e-11
114,3.0291118452860302e-12
115,3.4237827966467657e-13
116,9.380140564081257e-12
117,2.589328824102786e-11
118,2.1311322576306516e-11
119,7.082206501872312e-12
120,2.4481304107311884e-12
121,2.3739047200424757e-12
122,2.3208814890760418e-12
123,1.0200072002026537e-13
124,2.987678444442176e-12
125,1.3175756801743078e-12
126,3.3676293457445413e-13
127,6.400742535089702e-13
128,9.239715179422305e-13
129,1.188240755246649e-13
130,1.6386141235348295e-12
131,5.190468658088659e-12
132,1.2481704132581127e-11
133,4.275622672968362e-12
134,3.326909554328579e-12
135,6.294667744606707e-12
136,1.086840368001424e-11
137,2.6479821547469276e-12
138,1.8461408278881465e-12
139,1.4579634267668295e-13
140,7.441648114396701e-13
141,2.1670342485944077e-13
142,1.4578412173283191e-12
143,2.6621591893755193e-12
144,9.721255475899704e-13
145,8.143459103244602e-13
146,1.575533162204402e-12
147,2.670637734582252e-12
148,4.790658589604802e-12
149,2.175662601135031e-12
150,1.3778849945427824e-12
